BioWare Version 5.3.2.9 Export
Device:	Kistler Grande1 9286BA	Kistler Grande1 9286BA
Samples (#):	70000	70000
Rate (Hz):	1000.000000	1000.000000
Contact period start (sample #):	0	0
Contact period end (sample #):	69999	69999
Contact period start time (s):	0.000000	0.000000
Contact period end time (s):	69.999001	69.999001
First sample time (s):	0.000000	0.000000
Normalized force (N):	1.000000	1.000000
Normalized length (m):	1.000000	1.000000
File Information
Date	Jan 25, 2018  11:14:02
Name	
ID	
Classification	
Description	
abs time (s)	Ax	Ay
	m	m
0.508000	-0.020769	0.042417
0.509000	-0.020746	0.042365
0.510000	-0.020726	0.042373
0.511000	-0.020713	0.042375
0.512000	-0.020705	0.042353
0.513000	-0.020703	0.042364
0.514000	-0.020678	0.042375
0.515000	-0.020676	0.042384
0.516000	-0.020637	0.042402
0.517000	-0.020644	0.042385
0.518000	-0.020623	0.042390
0.519000	-0.020612	0.042368
0.520000	-0.020597	0.042392
0.521000	-0.020573	0.042411
0.522000	-0.020580	0.042413
0.523000	-0.020562	0.042425
0.524000	-0.020551	0.042432
0.525000	-0.020546	0.042409
0.526000	-0.020502	0.042403
0.527000	-0.020506	0.042405
0.528000	-0.020487	0.042403
0.529000	-0.020455	0.042425
0.530000	-0.020440	0.042442
0.531000	-0.020421	0.042387
0.532000	-0.020406	0.042411
0.533000	-0.020370	0.042393
0.534000	-0.020372	0.042415
0.535000	-0.020338	0.042440
0.536000	-0.020315	0.042400
0.537000	-0.020310	0.042407
0.538000	-0.020292	0.042416
0.539000	-0.020274	0.042431
0.540000	-0.020252	0.042412
0.541000	-0.020236	0.042367
0.542000	-0.020226	0.042389
0.543000	-0.020182	0.042366
0.544000	-0.020167	0.042350
0.545000	-0.020151	0.042398
0.546000	-0.020139	0.042421
0.547000	-0.020120	0.042446
0.548000	-0.020101	0.042424
0.549000	-0.020101	0.042431
0.550000	-0.020061	0.042422
0.551000	-0.020020	0.042386
0.552000	-0.020007	0.042408
0.553000	-0.020014	0.042419
0.554000	-0.020006	0.042423
0.555000	-0.019988	0.042422
0.556000	-0.019982	0.042426
0.557000	-0.019970	0.042398
0.558000	-0.019949	0.042449
0.559000	-0.019911	0.042404
0.560000	-0.019897	0.042398
0.561000	-0.019877	0.042391
0.562000	-0.019891	0.042433
0.563000	-0.019861	0.042423
0.564000	-0.019863	0.042440
0.565000	-0.019824	0.042392
0.566000	-0.019823	0.042405
0.567000	-0.019800	0.042401
0.568000	-0.019792	0.042387
0.569000	-0.019784	0.042401
0.570000	-0.019776	0.042405
0.571000	-0.019749	0.042375
0.572000	-0.019756	0.042413
0.573000	-0.019732	0.042398
0.574000	-0.019726	0.042414
0.575000	-0.019717	0.042393
0.576000	-0.019704	0.042411
0.577000	-0.019676	0.042412
0.578000	-0.019680	0.042405
0.579000	-0.019662	0.042404
0.580000	-0.019657	0.042407
0.581000	-0.019633	0.042417
0.582000	-0.019611	0.042404
0.583000	-0.019590	0.042390
0.584000	-0.019588	0.042438
0.585000	-0.019585	0.042368
0.586000	-0.019558	0.042376
0.587000	-0.019563	0.042415
0.588000	-0.019531	0.042398
0.589000	-0.019524	0.042396
0.590000	-0.019510	0.042364
0.591000	-0.019501	0.042359
0.592000	-0.019470	0.042386
0.593000	-0.019472	0.042378
0.594000	-0.019467	0.042369
0.595000	-0.019468	0.042359
0.596000	-0.019443	0.042357
0.597000	-0.019421	0.042402
