BioWare 3.0 Export
Device:	Integrated Amp Plate 1 9281CA	Integrated Amp Plate 1 9281CA	Integrated Amp Plate 1 9281CA
Samples (#):	8000	8000	8000
Rate (Hz):	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	0	0	0
Contact period end (sample #):	7999	7999	7999
Contact period start time (s):	0.000000	0.000000	0.000000
Contact period end time (s):	7.999000	7.999000	7.999000
First sample time (s):	0.000000	0.000000	0.000000
Normalized force (N):	618.915344	618.915344	618.915344
Normalized length (m):	1000.000000	1000.000000	1000.000000
abs time (s)	Fx	Fy	Fz
	N	N	N
0.426000	3.563904	1.350631	619.132107
0.427000	3.002571	0.806622	618.436150
0.428000	2.200936	-0.202494	614.111435
0.429000	2.441237	0.184542	615.150940
0.430000	3.082923	0.883864	617.400669
0.431000	3.082544	0.806622	617.745892
0.432000	2.601943	0.573239	616.191353
0.433000	3.002571	0.729381	617.918690
0.434000	3.322845	0.806622	618.784916
0.435000	3.162897	0.806622	619.302849
0.436000	3.563146	1.427873	620.172119
0.437000	3.483172	1.116418	619.132107
0.438000	3.723852	1.505114	619.825317
0.439000	3.804205	1.583185	620.345306
0.440000	2.842623	0.651310	616.881733
0.441000	3.162897	0.651310	617.918690
0.442000	3.243250	0.729381	618.265278
0.443000	3.643878	0.884694	619.476250
0.444000	3.402819	0.806622	618.094135
0.445000	3.643878	0.884694	619.131107
0.446000	4.124858	1.583185	621.037163
0.447000	3.884558	1.116418	620.171028
0.448000	3.002949	0.107301	616.705379
0.449000	3.964532	0.961935	621.206554
0.450000	3.884558	0.651310	620.512173
0.451000	3.804205	0.651310	619.821884
0.452000	3.884558	0.884694	619.997147
0.453000	3.964532	0.806622	619.822273
0.454000	3.884179	0.961935	620.339344
0.455000	3.804584	0.806622	619.305294
0.456000	4.525486	1.583185	623.285488
0.457000	3.964532	0.574069	620.338863
0.458000	3.804205	0.495997	619.127884
0.459000	3.322845	-0.202494	616.184902
0.460000	4.044885	0.806622	619.477127
0.461000	3.964532	0.729381	619.822273
0.462000	3.804205	0.495997	618.089455
0.463000	3.724231	0.573239	618.090931
0.464000	4.445133	0.961935	621.204990
0.465000	4.846519	1.505944	623.284313
0.466000	5.567421	1.893810	625.880814
0.467000	4.605460	1.505114	621.555111
0.468000	3.804205	0.418756	617.918018
0.469000	4.846140	1.660426	622.419682
0.470000	3.483172	0.495997	616.881168
0.471000	4.124858	0.806622	619.475952
0.472000	4.044885	0.652140	618.609947
0.473000	4.124858	0.884694	620.684971
0.474000	4.445133	0.884694	620.343742
0.475000	3.322845	0.263444	615.323685
0.476000	3.643878	0.573239	617.918018
0.477000	4.525107	1.505944	621.038521
0.478000	3.163276	0.107301	616.187344
0.479000	5.086440	2.048293	623.807835
0.480000	4.204832	0.883864	619.996063
0.481000	4.285185	1.194489	621.554142
0.482000	4.204832	0.961935	620.517052
0.483000	3.964532	0.806622	619.132496
0.484000	3.804205	0.883864	619.132496
0.485000	3.322845	0.651310	617.920094
0.486000	3.243250	0.495997	617.573948
0.487000	3.403198	0.495997	617.747334
0.488000	3.964532	0.884694	621.033154
0.489000	3.723852	0.651310	619.478695
0.490000	3.803826	0.651310	619.305294
0.491000	3.483172	0.728551	618.613079
0.492000	3.643878	0.728551	619.478214
0.493000	3.002571	0.263444	616.711372
0.494000	3.724231	0.729381	619.823357
0.495000	3.724231	0.651310	620.515694
0.496000	4.525486	1.505944	624.496246
0.497000	2.922218	-0.202494	617.916142
0.498000	3.964532	1.194489	622.074604
0.499000	3.403198	0.729381	620.344337
0.500000	3.643878	0.884694	621.554142
0.501000	3.002949	0.729381	619.652004
0.502000	3.644257	0.884694	622.244953
0.503000	3.403956	0.652140	620.688972
0.504000	3.964911	1.194489	624.148666
0.505000	3.803826	1.194489	622.941425
0.506000	3.162897	0.729381	621.035759
0.507000	4.205211	1.894640	625.365467
0.508000	2.842244	0.340685	619.304417
0.509000	3.002949	0.574069	621.035759
0.510000	3.403198	0.962765	623.284580
0.511000	3.724231	0.962765	623.631290
0.512000	3.403198	0.962765	623.631687
0.513000	3.082544	0.806622	621.038635
0.514000	3.403198	0.884694	621.900806
0.515000	2.521211	0.263444	618.616596
0.516000	2.441237	0.340685	618.961834
0.517000	2.441237	0.263444	618.786480
0.518000	3.964532	1.505944	624.326542
0.519000	3.804205	1.427873	624.671688
0.520000	3.402819	1.040006	621.212021
0.521000	2.842244	0.728551	619.827358
0.522000	3.002571	0.806622	620.345982
0.523000	2.762270	0.651310	619.308422
0.524000	2.201315	0.184542	617.228428
0.525000	2.601943	0.340685	618.441334
0.526000	3.643878	1.194489	623.285488
0.527000	2.441237	-0.047182	616.707455
0.528000	1.960257	-0.591190	615.323860
0.529000	3.322845	1.116418	620.520672
0.530000	3.002571	0.651310	619.306858
0.531000	2.360884	0.263444	617.055523
0.532000	2.441237	0.263444	617.574055
0.533000	3.002191	0.574069	619.303940
0.534000	2.842244	0.418756	618.611607
0.535000	2.521211	0.107301	617.053570
0.536000	3.002571	0.651310	618.268925
0.537000	3.002191	0.883864	618.615635
0.538000	2.681917	0.340685	616.882214
0.539000	1.719956	-0.591190	612.384590
0.540000	2.681917	0.263444	617.227360
0.541000	2.922597	0.418756	617.919689
0.542000	3.643878	0.807452	621.379360
0.543000	3.322845	0.652140	619.304420
0.544000	3.162897	0.652140	618.614071
0.545000	2.922218	0.418756	617.573475
0.546000	3.804205	1.040006	620.518234
0.547000	3.403956	0.884694	619.823845
0.548000	2.922597	0.263444	617.226284
0.549000	3.964532	1.196149	622.243931
0.550000	3.804205	0.807452	620.340824
0.551000	3.643120	0.729381	619.477165
0.552000	3.322845	0.574069	618.265797
0.553000	3.563146	0.806622	619.132507
0.554000	3.162897	0.574069	617.917656
0.555000	3.884179	0.884694	620.341824
0.556000	3.403198	0.495997	617.743744
0.557000	3.723852	0.574069	618.436081
0.558000	3.322845	0.341515	617.223846
0.559000	2.842244	-0.279735	614.973385
0.560000	3.242492	0.263444	615.669323
0.561000	3.804205	0.729381	618.090858
0.562000	3.002571	0.341515	614.979454
0.563000	3.563146	0.574069	617.400112
0.564000	3.723852	0.418756	617.573788
0.565000	3.403198	0.340685	616.360577
0.566000	4.284427	1.350631	619.476482
0.567000	3.402819	0.574069	615.668362
0.568000	3.002191	0.263444	613.765182
0.569000	3.403198	0.651310	616.190228
0.570000	2.922597	0.263444	613.591873
0.571000	3.322845	0.341515	615.666798
0.572000	3.162897	0.107301	614.629238
0.573000	3.884179	0.729381	617.398636
0.574000	3.483172	0.418756	614.112770
0.575000	3.082544	0.107301	613.765579
0.576000	3.643878	0.574069	616.188267
0.577000	2.842244	-0.047182	612.554688
0.578000	3.804205	0.574069	616.361576
0.579000	3.082544	-0.047182	613.762142
0.580000	3.483172	0.418756	616.013988
0.581000	3.242492	0.263444	613.935543
0.582000	2.922218	-0.047182	612.728607
0.583000	2.922218	-0.047182	613.073326
0.584000	2.521211	-0.202494	611.687721
0.585000	2.281289	-0.435048	611.167301
0.586000	2.521211	-0.279735	611.512932
0.587000	2.842244	-0.279735	613.240284
0.588000	2.521211	-0.435878	611.858078
0.589000	3.322466	0.108961	614.627476
0.590000	3.082544	0.108961	614.456127
0.591000	3.483172	0.496827	616.185825
0.592000	2.922218	0.341515	614.629917
0.593000	3.242492	0.263444	614.974674
0.594000	3.082544	0.107301	615.668362
0.595000	3.162897	0.263444	616.530548
0.596000	3.402819	0.418756	616.880215
0.597000	3.402819	0.496827	617.225235
0.598000	1.879904	-0.822914	610.648289
0.599000	3.803826	1.040006	619.822315
0.600000	2.922218	0.418756	615.150028
0.601000	3.002191	0.341515	616.878735
0.602000	2.761891	0.187032	615.666409
0.603000	2.922218	0.341515	617.224449
0.604000	2.921839	0.187032	616.705906
0.605000	2.360505	-0.201664	614.631958
0.606000	3.081786	0.496827	617.228855
0.607000	2.601185	0.341515	616.536541
0.608000	2.521211	0.419586	616.017994
0.609000	2.280531	-0.124423	615.669415
0.610000	2.600806	0.341515	616.883221
0.611000	2.520832	0.108961	617.228367
0.612000	2.360126	0.107301	615.501137
0.613000	2.280531	0.108961	615.673447
