RI	RS	VM	VL
-1932.8121994481987	-1126.0731944611243	2554.6735157924018	6806.860354578439
-2067.2687002793778	-1327.7579457078932	1176.4943822728167	4033.6950249353713
-1647.0921351819434	-857.1601927987663	268.91300166235806	537.8260033247161
-857.1601927987663	-386.56243988963973	-857.1601927987663	-453.7906903052293
-235.29887645456336	-184.8776886428712	-2117.68988809107	-655.4754415519978
218.49181385066595	-117.64943822728168	-3126.1136443249125	-924.3884432143559
605.0542537403056	67.22825041558951	-3764.7820232730137	-1126.0731944611243
924.3884432143559	252.1059390584607	-2352.9887645456333	-1411.79325872738
1226.9155700845088	336.14125207794757	773.1248797792795	-1647.0921351819434
1428.6003213312774	537.8260033247161	3058.885393909323	-1596.670947370251
1462.214446539072	487.404815513024	3899.238524104192	-1411.79325872738
1210.1085074806113	369.7553772857424	3731.1678980652187	-1495.828571746867
840.3531301948691	201.68475124676857	3310.991332967784	-336.14125207794757
134.45650083117903	420.17656509743455	1882.3910116365068	-201.68475124676857
-638.6683789481004	521.0189407208188	-521.0189407208188	487.404815513024
-1092.4590692533297	168.07062603897378	-285.72006426625546	1042.0378814416376
-1462.214446539072	-336.14125207794757	-806.7390049870743	974.809631026048
-1344.5650083117903	-386.56243988963973	-2487.445265376812	403.36950249353714
-974.809631026048	-168.07062603897378	-1462.214446539072	-184.8776886428712
-705.89662936369	-184.8776886428712	-1294.1438205000984	-184.8776886428712
-436.9836277013319	-84.03531301948689	-285.72006426625546	-554.6330659286136
-235.29887645456336	-336.14125207794757	-1193.301444876714	-487.404815513024
-235.29887645456336	-369.7553772857424	-1042.0378814416376	-352.948314681845
33.61412520779476	-100.84237562338429	-789.9319423831769	-33.61412520779476
319.3341894740502	50.42118781169214	-2437.02407756512	-504.2118781169214
672.2825041558951	134.45650083117903	-3042.078331305426	-453.7906903052293
756.3178171753822	218.49181385066595	-1394.9861961234824	-890.7743180065611
722.7036919675874	302.5271268701528	100.84237562338429	-1075.6520066494322
571.4401285325109	235.29887645456336	-1865.5839490326093	-958.0025684221506
453.7906903052293	0.0	-705.89662936369	-537.8260033247161
285.72006426625546	-184.8776886428712	319.3341894740502	184.8776886428712
84.03531301948689	-84.03531301948689	3008.464206097631	-958.0025684221506
235.29887645456336	50.42118781169214	100.84237562338429	-1916.0051368443012
268.91300166235806	302.5271268701528	1109.2661318572273	-1277.3367578962009
386.56243988963973	268.91300166235806	1747.9345108053276	218.49181385066595
151.2635634350764	252.1059390584607	1058.844944045535	974.809631026048
-100.84237562338429	117.64943822728168	2319.3746393378383	1563.0568221624562
-352.948314681845	50.42118781169214	2117.68988809107	2403.4099523573254
-605.0542537403056	-33.61412520779476	907.5813806104586	1630.2850725780459
-487.404815513024	-84.03531301948689	369.7553772857424	974.809631026048
-369.7553772857424	-84.03531301948689	537.8260033247161	436.9836277013319
-151.2635634350764	16.80706260389738	-386.56243988963973	-218.49181385066595
-50.42118781169214	-16.80706260389738	-1277.3367578962009	-470.5977529091267
151.2635634350764	-16.80706260389738	-3294.1842703638868	-218.49181385066595
285.72006426625546	-16.80706260389738	-3865.6243988963975	16.80706260389738
302.5271268701528	-50.42118781169214	-4000.0808997275767	-134.45650083117903
285.72006426625546	67.22825041558951	-1983.2333872598908	-218.49181385066595
252.1059390584607	-134.45650083117903	1378.179133519585	-16.80706260389738
252.1059390584607	-50.42118781169214	-504.2118781169214	-319.3341894740502
319.3341894740502	-84.03531301948689	-571.4401285325109	-403.36950249353714
117.64943822728168	-218.49181385066595	756.3178171753822	-302.5271268701528
-117.64943822728168	-319.3341894740502	2571.4805783962993	0.0
-235.29887645456336	-252.1059390584607	2100.8828254871723	521.0189407208188
-285.72006426625546	-403.36950249353714	1848.7768864287118	857.1601927987663
-403.36950249353714	-453.7906903052293	1260.5296952923036	168.07062603897378
-252.1059390584607	-336.14125207794757	369.7553772857424	-386.56243988963973
-184.8776886428712	-386.56243988963973	117.64943822728168	-100.84237562338429
-285.72006426625546	-235.29887645456336	789.9319423831769	-151.2635634350764
-218.49181385066595	16.80706260389738	2655.5158914157864	-504.2118781169214
-134.45650083117903	201.68475124676857	3832.0102736886024	-504.2118781169214
-50.42118781169214	134.45650083117903	4117.730337954858	-621.861316344203
268.91300166235806	117.64943822728168	1731.12744820143	-117.64943822728168
621.861316344203	252.1059390584607	-352.948314681845	-100.84237562338429
789.9319423831769	403.36950249353714	-1411.79325872738	-655.4754415519978
756.3178171753822	436.9836277013319	-2252.1463889222487	-1210.1085074806113
537.8260033247161	537.8260033247161	-2638.708828811889	-1529.4426969546614
117.64943822728168	252.1059390584607	-4184.958588370448	-1176.4943822728167
-184.8776886428712	-235.29887645456336	-4638.749278675677	773.1248797792795
-605.0542537403056	-605.0542537403056	-1747.9345108053276	2033.6545750715832
-873.9672554026638	-621.861316344203	-2218.5322637144545	1949.619262052096
-890.7743180065611	-521.0189407208188	-1394.9861961234824	1680.7062603897382
-689.0895667597925	-453.7906903052293	-470.5977529091267	857.1601927987663
-605.0542537403056	-252.1059390584607	1008.4237562338428	302.5271268701528
-470.5977529091267	-16.80706260389738	2084.0757628832753	-218.49181385066595
-134.45650083117903	168.07062603897378	1798.3556986170197	-605.0542537403056
84.03531301948689	285.72006426625546	-672.2825041558951	-941.1955058182534
319.3341894740502	386.56243988963973	-1882.3910116365068	-1008.4237562338428
504.2118781169214	436.9836277013319	-2974.8500808898366	-739.5107545714848
504.2118781169214	369.7553772857424	-655.4754415519978	-302.5271268701528
